id,name,count,isEquip,equipType,value,description,star
1,훈련용대검,1,TRUE,Claymore,20,"비록 그저 검 모양으로 만든 두꺼운 쇠붙이일 뿐이지만, 의지가 강한 사람은 이 대검으로 거대한 바위도 벨 수 있다",1
2,용병중검,1,TRUE,Claymore,30,수많은 전쟁과 오랜 세월을 견뎌낸 무겁고 단단한 대검,2
3,천공의 긍지,1,TRUE,Claymore,60,바람 드래곤의 긍지가 하늘에 널리 펴져 있음을 상징하는 양손검. 바람을 가르는 소리는 마치 풍룡의 포효와 같고 푸른 하늘과 바람의 힘을 지니고 있다,5
4,무공의 검,1,TRUE,Claymore,70,"요괴를 물리칠 수 있으며, 신의 힘이 깃든 듯한 날이 없는 대검",5
5,진주를 문 해황,1,TRUE,Claymore,80,"바다의 황제, 건조 과정을 거치면 병기와 비상식량으로 사용할 수 있다",4
6,아모스의 활,1,TRUE,Bow,60,아주 오래된 활. 원래의 주인이 더이상 존재하지 않더라도 그 안에 깃든 힘은 여전하다. 그 힘은 주인이 없으나 만물 속에 깃들어있다. 마음속의 욕망을 멀리할수록 그 힘이 더 강해진다,5
7,천공의 날개,1,TRUE,Bow,70,풍룡이 바르바토스의 권속임을 상징하는 큰 활. 바람의 신은 활시위를 놓을 때 울리는 소리를 아주 좋아한다. 푸른 하늘과 바람의 힘을 지니고 있다,5
8,비뢰의 고동,1,TRUE,Bow,80,"쇼군이 하사한 장궁, 영원히 꺼지지 않는 뇌광이 반짝인다",5
9,음유시인의 악장,1,TRUE,Catalyst,50,노래 악보가 적혀있는 두꺼운 노트. 벌레가 갉아먹고 풍화되긴 했지만 남아있는 필적에서 힘이 느껴진다,4
10,천공의 두루마리,1,TRUE,Catalyst,70,"풍룡과 그의 주인?바람의 신을 상징하는 두루마리. 북쪽 하늘의 바람과 구름이 상세히 기재되어 있으며, 푸른 하늘과 바람의 힘을 지니고 있다",5
11,사풍 원서,1,TRUE,Catalyst,80,바람을 신봉하던 무명의 신도가 작성한 교전의 진본. 몇천 년 전부터 전해져 오던 신앙의 힘이 바람의 총애를 받아 축복과 힘이 깃들었다,5
12,천공의 마루,1,TRUE,Pole,60,"바람 드래곤의 확고한 결심을 상징하는 창. 곧게 뻗은 창대가 하늘을 가리키며, 창공과 강한 바람의 힘을 품고 있다",5
13,호마의 지팡이,1,TRUE,Pole,70,오래전에 사라져버린 옛 제사 의식에 사용됐던 적색의 지팡이,5
14,예초의 번개,1,TRUE,Pole,80,「절초」에 사용되는 치도. 이에 대항하려는 적군 역시 갈대처럼 쓰러질 것이다…,5
15,무인검,1,TRUE,Sword,20,"젊은이의 꿈, 여정에 오른 흥분??이 두 가지의 소중한 자질이 아직 부족하다면 용기로 때우자",1
